Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
6.201065585613250732e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.346699999999999875e+01,3.378900000000000148e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.211013026237487793e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.346699999999999875e+01,3.375699999999999790e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.220984654426574707e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.346699999999999875e+01,3.362800000000000011e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.230923149585723877e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.346699999999999875e+01,3.365999999999999659e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.240903210639953613e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.343500000000000227e+01,3.362800000000000011e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.250833311080932617e+02,3.721895598531936855e-01,0.000000000000000000e+00,3.333800000000000097e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.260813343524932861e+02,6.903966003889299152e-01,0.000000000000000000e+00,3.324099999999999966e+01,3.349900000000000233e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.270745615959167480e+02,1.020262118194569467e+00,0.000000000000000000e+00,3.314500000000000313e+01,3.349900000000000233e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.280728952884674072e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.314500000000000313e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.290661740303039551e+02,9.773227118904131983e-02,0.000000000000000000e+00,3.311200000000000188e+01,3.349900000000000233e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.300639533996582031e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.314500000000000313e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.310575129985809326e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.314500000000000313e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.320549376010894775e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.311200000000000188e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.330485527515411377e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.314500000000000313e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.340458884239196777e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.314500000000000313e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.350401351451873779e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.314500000000000313e+01,3.343500000000000227e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.360373346805572510e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.314500000000000313e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.370311517715454102e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.311200000000000188e+01,3.346699999999999875e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.380287201404571533e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.307999999999999829e+01,3.349900000000000233e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.390223767757415771e+02,2.087278280348369819e+00,0.000000000000000000e+00,3.295100000000000051e+01,3.349900000000000233e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.400196900367736816e+02,2.809634726898660340e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.330599999999999739e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.410133631229400635e+02,9.553304067611065875e-01,0.000000000000000000e+00,3.282200000000000273e+01,3.343500000000000227e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.420107479095458984e+02,3.924064332007723976e-01,0.000000000000000000e+00,3.282200000000000273e+01,3.327300000000000324e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.430048289299011230e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.327300000000000324e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.440018072128295898e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.317699999999999960e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.449958503246307373e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.314500000000000313e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.459927933216094971e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.314500000000000313e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.469872548580169678e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.320900000000000318e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.479837975502014160e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.317699999999999960e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.489784018993377686e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.314500000000000313e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.499748401641845703e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.314500000000000313e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.509695150852203369e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282200000000000273e+01,3.317699999999999960e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.519658246040344238e+02,4.776510501142797183e-01,0.000000000000000000e+00,3.278999999999999915e+01,3.314500000000000313e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.529612221717834473e+02,2.488840113560693013e-01,0.000000000000000000e+00,3.275800000000000267e+01,3.314500000000000313e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.539570283889770508e+02,6.938006338007487450e-01,0.000000000000000000e+00,3.269299999999999784e+01,3.314500000000000313e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.549523248672485352e+02,1.448642923355180301e+00,0.000000000000000000e+00,3.259700000000000131e+01,3.307999999999999829e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.559480454921722412e+02,1.282666827917381402e+00,0.000000000000000000e+00,3.253199999999999648e+01,3.311200000000000188e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.569436244964599609e+02,7.735047781989061733e-01,0.000000000000000000e+00,3.250000000000000000e+01,3.307999999999999829e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.579398503303527832e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.250000000000000000e+01,3.307999999999999829e+01,3.000000000000000000e+01,2.300000000000000000e+01
6.589346313476562500e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250000000000000000e+01,3.288700000000000045e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.599309318065643311e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250000000000000000e+01,3.317699999999999960e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.609256889820098877e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250000000000000000e+01,3.298299999999999699e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.619222061634063721e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250000000000000000e+01,3.311200000000000188e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.629167485237121582e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250000000000000000e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.639131448268890381e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250000000000000000e+01,3.291899999999999693e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.649080948829650879e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250000000000000000e+01,3.291899999999999693e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.659041259288787842e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250000000000000000e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.668996748924255371e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.253199999999999648e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.678951201438903809e+02,9.835946076922174086e+01,0.000000000000000000e+00,3.269299999999999784e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.688910684585571289e+02,9.946903881434958805e+01,0.000000000000000000e+00,3.278999999999999915e+01,3.301599999999999824e+01,4.000000000000000000e+01,2.300000000000000000e+01
